1 1.74286
2 0.838197
3 3.24279
4 2.54795
5 3.6081
6 0.58624
7 1.65338
8 3.42522
9 2.39449
10 1.6172
11 1.46608
12 2.67823
13 1.98619
14 2.49409
15 1.56513
16 1.81736
17 2.58046
18 0.569383
19 1.71032
20 1.42168
21 1.43042
22 0.926313
23 1.73482
24 0.594139
25 2.30604
26 2.37239
27 1.15665
28 1.61667
29 2.53904
30 2.15909
31 2.18823
32 1.63523
33 0.959108
34 2.22542
35 1.61268
36 4.40118
37 1.57527
38 2.15027
39 3.36194
40 2.10928
41 1.59768
42 2.6625
43 2.46523
44 1.61978
45 2.60458
46 3.00238
47 1.84285
