1 0.909774
2 0.701676
3 0.228896
4 0.37205
5 1.18709
6 0.560875
7 1.0873
8 0.192439
9 0.266303
10 1.41578
11 0.606149
12 0.714521
13 0.423817
14 0.773437
15 1.50195
16 0.311787
17 0.860976
18 0.901376
19 1.18593
20 0.782253
21 0.765278
22 0.953181
23 0.892054
24 0.795846
25 0.325711
26 0.322061
27 1.058
28 0.404373
29 0.235874
30 0.27956
31 0.562461
32 0.107888
33 0.414343
34 0.121136
35 0.730828
36 0.262427
37 0.491793
38 0.222731
39 0.639599
40 0.30354
41 1.71546
42 3.67827
43 0.980145
44 0.473225
45 1.29701
46 0.86086
47 0.97258
48 0.610997
49 1.74824
50 1.02045
51 1.40955
52 0.47235
53 0.672448
54 1.22985
55 0.689775
56 1.52021
57 0.983594
58 2.03222
59 0.873776
60 1.98553
61 2.39051
62 1.26872
63 2.61964
64 0.730859
65 1.56434
66 0.601768
67 2.70718
68 0.795508
69 0.144036
70 0.876255
71 1.44176
72 0.748665
73 0.760621
74 1.58811
75 1.2303
76 1.63669
77 1.13718
78 1.17349
79 1.57249
80 1.07395
81 1.41088
82 0.536077
83 0.454305
84 0.140573
85 1.96261
86 1.13821
87 0.860245
88 0.455206
89 1.3027
90 1.2729
91 1.05391
92 1.91256
93 0.593202
94 1.81256
95 0.247841
96 0.488895
97 0.803828
98 0.297168
99 1.89645
100 0.657187
101 0.711487
102 0.270814
103 1.15437
104 1.21733
105 1.16432
106 0.275348
107 2.06037
108 1.99139
109 0.765794
110 1.00159
111 1.66602
112 0.434738
113 1.50158
114 1.46948
115 1.486
116 2.83691
117 0.615503
118 1.13479
119 1.81618
120 1.33116
121 2.39755
122 0.89511
123 1.4664
124 1.83637
125 1.3435
126 2.99015
127 1.57297
128 2.08586
129 0.911274
130 1.18643
131 0.929049
132 0.0644055
133 0.598846
