t(s)	x(m)	v(m/s)	F(N)
0	0	1.17192	0
3e-07	3.51576e-07	1.17192	47.8128
6e-07	7.03153e-07	1.17192	95.6374
9e-07	1.05473e-06	1.17192	143.474
1.2e-06	1.40631e-06	1.17192	191.323
1.5e-06	1.75788e-06	1.17192	239.183
1.8e-06	2.10946e-06	1.17192	287.056
2.1e-06	2.46103e-06	1.17192	334.941
2.4e-06	2.81261e-06	1.17192	382.837
2.7e-06	3.16419e-06	1.17192	430.746
3e-06	3.51576e-06	1.17192	478.668
3.3e-06	3.86734e-06	1.17192	526.601
3.6e-06	4.21891e-06	1.17192	574.547
3.9e-06	4.57049e-06	1.17192	622.505
4.2e-06	4.92206e-06	1.17192	670.476
4.5e-06	5.27364e-06	1.17192	718.459
4.8e-06	5.62521e-06	1.17192	766.455
5.1e-06	5.97679e-06	1.17191	814.463
5.4e-06	6.32836e-06	1.17191	862.483
5.7e-06	6.67994e-06	1.17191	910.516
6e-06	7.03151e-06	1.17191	958.562
6.3e-06	7.38308e-06	1.17191	1006.62
6.6e-06	7.73466e-06	1.17191	1054.69
6.9e-06	8.08623e-06	1.17191	1102.78
7.2e-06	8.4378e-06	1.17191	1150.87
7.5e-06	8.78937e-06	1.17191	1198.98
7.8e-06	9.14094e-06	1.1719	1247.11
8.1e-06	9.49251e-06	1.1719	1295.24
8.4e-06	9.84409e-06	1.1719	1343.39
8.7e-06	1.01957e-05	1.1719	1391.55
9e-06	1.05472e-05	1.1719	1439.73
9.3e-06	1.08988e-05	1.1719	1487.91
9.6e-06	1.12504e-05	1.1719	1536.12
9.9e-06	1.16019e-05	1.17189	1584.33
1.02e-05	1.19535e-05	1.17189	1632.56
1.05e-05	1.23051e-05	1.17189	1680.8
1.08e-05	1.26566e-05	1.17189	1729.05
1.11e-05	1.30082e-05	1.17189	1777.32
1.14e-05	1.33598e-05	1.17188	1825.6
1.17e-05	1.37113e-05	1.17188	1873.9
1.2e-05	1.40629e-05	1.17188	1922.2
1.23e-05	1.44145e-05	1.17188	1970.52
1.26e-05	1.4766e-05	1.17188	2018.86
1.29e-05	1.51176e-05	1.17187	2067.21
1.32e-05	1.54691e-05	1.17187	2115.57
1.35e-05	1.58207e-05	1.17187	2163.95
1.38e-05	1.61723e-05	1.17187	2212.34
1.41e-05	1.65238e-05	1.17187	2260.74
1.44e-05	1.68754e-05	1.17186	2309.16
1.47e-05	1.72269e-05	1.17186	2357.59
1.5e-05	1.75785e-05	1.17186	2406.03
1.53e-05	1.79301e-05	1.17186	2454.49
1.56e-05	1.82816e-05	1.17185	2502.97
1.59e-05	1.86332e-05	1.17185	2551.45
1.62e-05	1.89847e-05	1.17185	2599.96
1.65e-05	1.93363e-05	1.17184	2648.47
1.68e-05	1.96878e-05	1.17184	2697
1.71e-05	2.00394e-05	1.17184	2745.55
1.74e-05	2.03909e-05	1.17184	2794.1
1.77e-05	2.07425e-05	1.17183	2842.68
1.8e-05	2.1094e-05	1.17183	2891.26
1.83e-05	2.14456e-05	1.17183	2939.87
1.86e-05	2.17971e-05	1.17182	2988.48
1.89e-05	2.21487e-05	1.17182	3037.11
1.92e-05	2.25002e-05	1.17182	3085.76
1.95e-05	2.28518e-05	1.17181	3134.42
1.98e-05	2.32033e-05	1.17181	3183.09
2.01e-05	2.35549e-05	1.17181	3231.78
2.04e-05	2.39064e-05	1.1718	3280.48
2.07e-05	2.42579e-05	1.1718	3329.2
2.1e-05	2.46095e-05	1.1718	3377.93
2.13e-05	2.4961e-05	1.17179	3426.68
2.16e-05	2.53126e-05	1.17179	3475.44
2.19e-05	2.56641e-05	1.17179	3524.22
2.22e-05	2.60156e-05	1.17178	3573.02
2.25e-05	2.63672e-05	1.17178	3621.82
2.28e-05	2.67187e-05	1.17177	3670.65
2.31e-05	2.70702e-05	1.17177	3719.48
2.34e-05	2.74218e-05	1.17177	3768.34
2.37e-05	2.77733e-05	1.17176	3817.2
2.4e-05	2.81248e-05	1.17176	3866.09
2.43e-05	2.84763e-05	1.17175	3914.99
2.46e-05	2.88279e-05	1.17175	3963.9
2.49e-05	2.91794e-05	1.17175	4012.83
2.52e-05	2.95309e-05	1.17174	4061.77
2.55e-05	2.98824e-05	1.17174	4110.73
2.58e-05	3.0234e-05	1.17173	4159.71
2.61e-05	3.05855e-05	1.17173	4208.7
2.64e-05	3.0937e-05	1.17172	4257.71
2.67e-05	3.12885e-05	1.17172	4306.73
2.7e-05	3.164e-05	1.17172	4355.77
2.73e-05	3.19915e-05	1.17171	4404.82
2.76e-05	3.23431e-05	1.17171	4453.89
2.79e-05	3.26946e-05	1.1717	4502.97
2.82e-05	3.30461e-05	1.1717	4552.08
2.85e-05	3.33976e-05	1.17169	4601.19
2.88e-05	3.37491e-05	1.17169	4650.33
2.91e-05	3.41006e-05	1.17168	4699.47
2.94e-05	3.44521e-05	1.17168	4748.64
2.97e-05	3.48036e-05	1.17167	4797.82
3e-05	3.51551e-05	1.17167	4847.02
3.03e-05	3.55066e-05	1.17166	4896.23
3.06e-05	3.58581e-05	1.17166	4945.46
3.09e-05	3.62096e-05	1.17165	4994.7
3.12e-05	3.65611e-05	1.17165	5043.96
3.15e-05	3.69126e-05	1.17164	5093.24
3.18e-05	3.72641e-05	1.17164	5142.54
3.21e-05	3.76156e-05	1.17163	5191.85
3.24e-05	3.79671e-05	1.17162	5241.17
3.27e-05	3.83185e-05	1.17162	5290.52
3.3e-05	3.867e-05	1.17161	5339.88
3.33e-05	3.90215e-05	1.17161	5389.25
3.36e-05	3.9373e-05	1.1716	5438.65
3.39e-05	3.97245e-05	1.1716	5488.06
3.42e-05	4.0076e-05	1.17159	5537.48
3.45e-05	4.04274e-05	1.17158	5586.92
3.48e-05	4.07789e-05	1.17158	5636.38
3.51e-05	4.11304e-05	1.17157	5685.86
3.54e-05	4.14818e-05	1.17157	5735.35
3.57e-05	4.18333e-05	1.17156	5784.86
3.6e-05	4.21848e-05	1.17155	5834.39
3.63e-05	4.25362e-05	1.17155	5883.94
3.66e-05	4.28877e-05	1.17154	5933.5
3.69e-05	4.32392e-05	1.17154	5983.08
3.72e-05	4.35906e-05	1.17153	6032.67
3.75e-05	4.39421e-05	1.17152	6082.28
3.78e-05	4.42935e-05	1.17152	6131.91
3.81e-05	4.4645e-05	1.17151	6181.56
3.84e-05	4.49965e-05	1.1715	6231.22
3.87e-05	4.53479e-05	1.1715	6280.91
3.9e-05	4.56994e-05	1.17149	6330.61
