t(s)	x(m)	v(m/s)	F(N)
0	0	0.442945	0
3e-07	1.32883e-07	0.442945	47.7987
6e-07	2.65767e-07	0.442945	95.581
9e-07	3.9865e-07	0.442945	143.347
1.2e-06	5.31534e-07	0.442945	191.097
1.5e-06	6.64417e-07	0.442944	238.831
1.8e-06	7.973e-07	0.442944	286.548
2.1e-06	9.30184e-07	0.442944	334.249
2.4e-06	1.06307e-06	0.442944	381.934
2.7e-06	1.19595e-06	0.442944	429.603
3e-06	1.32883e-06	0.442944	477.256
3.3e-06	1.46172e-06	0.442944	524.892
3.6e-06	1.5946e-06	0.442943	572.513
3.9e-06	1.72748e-06	0.442943	620.118
4.2e-06	1.86037e-06	0.442943	667.706
4.5e-06	1.99325e-06	0.442943	715.279
4.8e-06	2.12613e-06	0.442942	762.835
5.1e-06	2.25901e-06	0.442942	810.376
5.4e-06	2.3919e-06	0.442942	857.901
5.7e-06	2.52478e-06	0.442941	905.41
6e-06	2.65766e-06	0.442941	952.903
6.3e-06	2.79054e-06	0.44294	1000.38
6.6e-06	2.92342e-06	0.44294	1047.84
6.9e-06	3.05631e-06	0.44294	1095.29
7.2e-06	3.18919e-06	0.442939	1142.72
7.5e-06	3.32207e-06	0.442939	1190.13
7.8e-06	3.45495e-06	0.442938	1237.53
8.1e-06	3.58783e-06	0.442938	1284.91
8.4e-06	3.72071e-06	0.442937	1332.28
8.7e-06	3.8536e-06	0.442937	1379.63
9e-06	3.98648e-06	0.442936	1426.97
9.3e-06	4.11936e-06	0.442936	1474.29
9.6e-06	4.25224e-06	0.442935	1521.59
9.9e-06	4.38512e-06	0.442934	1568.88
1.02e-05	4.518e-06	0.442934	1616.15
1.05e-05	4.65088e-06	0.442933	1663.41
1.08e-05	4.78376e-06	0.442932	1710.66
1.11e-05	4.91664e-06	0.442932	1757.88
1.14e-05	5.04952e-06	0.442931	1805.09
1.17e-05	5.1824e-06	0.44293	1852.29
1.2e-05	5.31528e-06	0.44293	1899.47
1.23e-05	5.44815e-06	0.442929	1946.64
1.26e-05	5.58103e-06	0.442928	1993.79
1.29e-05	5.71391e-06	0.442927	2040.92
1.32e-05	5.84679e-06	0.442926	2088.04
1.35e-05	5.97967e-06	0.442925	2135.15
1.38e-05	6.11254e-06	0.442925	2182.24
1.41e-05	6.24542e-06	0.442924	2229.31
1.44e-05	6.3783e-06	0.442923	2276.37
1.47e-05	6.51118e-06	0.442922	2323.41
1.5e-05	6.64405e-06	0.442921	2370.44
1.53e-05	6.77693e-06	0.44292	2417.46
1.56e-05	6.9098e-06	0.442919	2464.46
1.59e-05	7.04268e-06	0.442918	2511.44
1.62e-05	7.17555e-06	0.442917	2558.41
1.65e-05	7.30843e-06	0.442916	2605.36
1.68e-05	7.4413e-06	0.442915	2652.3
1.71e-05	7.57418e-06	0.442914	2699.22
1.74e-05	7.70705e-06	0.442913	2746.13
1.77e-05	7.83993e-06	0.442912	2793.03
1.8e-05	7.9728e-06	0.442911	2839.91
1.83e-05	8.10567e-06	0.442909	2886.77
1.86e-05	8.23855e-06	0.442908	2933.62
1.89e-05	8.37142e-06	0.442907	2980.45
1.92e-05	8.50429e-06	0.442906	3027.27
1.95e-05	8.63716e-06	0.442905	3074.08
1.98e-05	8.77003e-06	0.442903	3120.87
2.01e-05	8.9029e-06	0.442902	3167.64
2.04e-05	9.03577e-06	0.442901	3214.41
2.07e-05	9.16864e-06	0.4429	3261.15
2.1e-05	9.30151e-06	0.442898	3307.88
2.13e-05	9.43438e-06	0.442897	3354.6
2.16e-05	9.56725e-06	0.442896	3401.3
2.19e-05	9.70012e-06	0.442894	3447.99
2.22e-05	9.83299e-06	0.442893	3494.66
2.25e-05	9.96586e-06	0.442892	3541.32
2.28e-05	1.00987e-05	0.44289	3587.97
2.31e-05	1.02316e-05	0.442889	3634.6
2.34e-05	1.03645e-05	0.442887	3681.21
2.37e-05	1.04973e-05	0.442886	3727.81
2.4e-05	1.06302e-05	0.442884	3774.4
2.43e-05	1.07631e-05	0.442883	3820.97
2.46e-05	1.08959e-05	0.442881	3867.53
2.49e-05	1.10288e-05	0.44288	3914.07
2.52e-05	1.11616e-05	0.442878	3960.6
2.55e-05	1.12945e-05	0.442876	4007.12
2.58e-05	1.14274e-05	0.442875	4053.62
2.61e-05	1.15602e-05	0.442873	4100.1
2.64e-05	1.16931e-05	0.442872	4146.58
2.67e-05	1.1826e-05	0.44287	4193.03
2.7e-05	1.19588e-05	0.442868	4239.48
2.73e-05	1.20917e-05	0.442867	4285.91
2.76e-05	1.22245e-05	0.442865	4332.32
2.79e-05	1.23574e-05	0.442863	4378.73
2.82e-05	1.24903e-05	0.442861	4425.11
2.85e-05	1.26231e-05	0.44286	4471.49
2.88e-05	1.2756e-05	0.442858	4517.85
2.91e-05	1.28888e-05	0.442856	4564.19
2.94e-05	1.30217e-05	0.442854	4610.52
2.97e-05	1.31545e-05	0.442852	4656.84
3e-05	1.32874e-05	0.44285	4703.14
3.03e-05	1.34203e-05	0.442849	4749.43
3.06e-05	1.35531e-05	0.442847	4795.71
3.09e-05	1.3686e-05	0.442845	4841.97
3.12e-05	1.38188e-05	0.442843	4888.22
3.15e-05	1.39517e-05	0.442841	4934.45
3.18e-05	1.40845e-05	0.442839	4980.67
3.21e-05	1.42174e-05	0.442837	5026.88
3.24e-05	1.43502e-05	0.442835	5073.07
3.27e-05	1.44831e-05	0.442833	5119.25
3.3e-05	1.46159e-05	0.442831	5165.42
3.33e-05	1.47488e-05	0.442829	5211.57
3.36e-05	1.48816e-05	0.442827	5257.71
3.39e-05	1.50145e-05	0.442825	5303.83
3.42e-05	1.51473e-05	0.442822	5349.94
3.45e-05	1.52802e-05	0.44282	5396.04
3.48e-05	1.5413e-05	0.442818	5442.13
3.51e-05	1.55458e-05	0.442816	5488.2
3.54e-05	1.56787e-05	0.442814	5534.25
3.57e-05	1.58115e-05	0.442811	5580.3
3.6e-05	1.59444e-05	0.442809	5626.33
3.63e-05	1.60772e-05	0.442807	5672.34
3.66e-05	1.62101e-05	0.442805	5718.35
3.69e-05	1.63429e-05	0.442802	5764.34
3.72e-05	1.64757e-05	0.4428	5810.31
3.75e-05	1.66086e-05	0.442798	5856.28
3.78e-05	1.67414e-05	0.442795	5902.23
3.81e-05	1.68743e-05	0.442793	5948.16
3.84e-05	1.70071e-05	0.442791	5994.08
3.87e-05	1.71399e-05	0.442788	6039.99
3.9e-05	1.72728e-05	0.442786	6085.89
3.93e-05	1.74056e-05	0.442783	6131.77
3.96e-05	1.75384e-05	0.442781	6177.64
3.99e-05	1.76713e-05	0.442779	6223.5
4.02e-05	1.78041e-05	0.442776	6269.34
4.05e-05	1.79369e-05	0.442774	6315.18
4.08e-05	1.80698e-05	0.442771	6360.99
4.11e-05	1.82026e-05	0.442768	6406.8
4.14e-05	1.83354e-05	0.442766	6452.59
4.17e-05	1.84683e-05	0.442763	6498.37
4.2e-05	1.86011e-05	0.442761	6544.13
4.23e-05	1.87339e-05	0.442758	6589.89
4.26e-05	1.88667e-05	0.442755	6635.62
4.29e-05	1.89996e-05	0.442753	6681.35
4.32e-05	1.91324e-05	0.44275	6727.06
4.35e-05	1.92652e-05	0.442747	6772.77
4.38e-05	1.9398e-05	0.442745	6818.45
4.41e-05	1.95309e-05	0.442742	6864.13
4.44e-05	1.96637e-05	0.442739	6909.79
4.47e-05	1.97965e-05	0.442737	6955.44
4.5e-05	1.99293e-05	0.442734	7001.08
4.53e-05	2.00622e-05	0.442731	7046.7
4.56e-05	2.0195e-05	0.442728	7092.31
4.59e-05	2.03278e-05	0.442725	7137.91
4.62e-05	2.04606e-05	0.442722	7183.49
4.65e-05	2.05934e-05	0.44272	7229.07
4.68e-05	2.07262e-05	0.442717	7274.63
4.71e-05	2.08591e-05	0.442714	7320.17
4.74e-05	2.09919e-05	0.442711	7365.71
4.77e-05	2.11247e-05	0.442708	7411.23
4.8e-05	2.12575e-05	0.442705	7456.74
4.83e-05	2.13903e-05	0.442702	7502.24
4.86e-05	2.15231e-05	0.442699	7547.72
4.89e-05	2.16559e-05	0.442696	7593.2
4.92e-05	2.17887e-05	0.442693	7638.66
4.95e-05	2.19215e-05	0.44269	7684.1
4.98e-05	2.20543e-05	0.442687	7729.54
5.01e-05	2.21872e-05	0.442684	7774.96
5.04e-05	2.232e-05	0.442681	7820.37
5.07e-05	2.24528e-05	0.442677	7865.77
5.1e-05	2.25856e-05	0.442674	7911.15
5.13e-05	2.27184e-05	0.442671	7956.53
5.16e-05	2.28512e-05	0.442668	8001.89
5.19e-05	2.2984e-05	0.442665	8047.23
5.22e-05	2.31168e-05	0.442662	8092.57
5.25e-05	2.32496e-05	0.442658	8137.89
5.28e-05	2.33824e-05	0.442655	8183.21
5.31e-05	2.35152e-05	0.442652	8228.51
5.34e-05	2.36479e-05	0.442648	8273.79
5.37e-05	2.37807e-05	0.442645	8319.07
5.4e-05	2.39135e-05	0.442642	8364.33
5.43e-05	2.40463e-05	0.442639	8409.58
5.46e-05	2.41791e-05	0.442635	8454.82
5.49e-05	2.43119e-05	0.442632	8500.05
5.52e-05	2.44447e-05	0.442628	8545.26
5.55e-05	2.45775e-05	0.442625	8590.46
5.58e-05	2.47103e-05	0.442622	8635.66
5.61e-05	2.48431e-05	0.442618	8680.83
5.64e-05	2.49758e-05	0.442615	8726
5.67e-05	2.51086e-05	0.442611	8771.16
5.7e-05	2.52414e-05	0.442608	8816.3
5.73e-05	2.53742e-05	0.442604	8861.43
5.76e-05	2.5507e-05	0.442601	8906.55
5.79e-05	2.56398e-05	0.442597	8951.65
5.82e-05	2.57725e-05	0.442593	8996.75
5.85e-05	2.59053e-05	0.44259	9041.83
5.88e-05	2.60381e-05	0.442586	9086.91
5.91e-05	2.61709e-05	0.442583	9131.97
5.94e-05	2.63036e-05	0.442579	9177.01
5.97e-05	2.64364e-05	0.442575	9222.05
6e-05	2.65692e-05	0.442572	9267.07
6.03e-05	2.6702e-05	0.442568	9312.09
6.06e-05	2.68347e-05	0.442564	9357.09
6.09e-05	2.69675e-05	0.44256	9402.08
6.12e-05	2.71003e-05	0.442557	9447.06
6.15e-05	2.7233e-05	0.442553	9492.02
6.18e-05	2.73658e-05	0.442549	9536.98
6.21e-05	2.74986e-05	0.442545	9581.92
6.24e-05	2.76313e-05	0.442541	9626.85
6.27e-05	2.77641e-05	0.442538	9671.77
6.3e-05	2.78968e-05	0.442534	9716.68
6.33e-05	2.80296e-05	0.44253	9761.58
6.36e-05	2.81624e-05	0.442526	9806.47
6.39e-05	2.82951e-05	0.442522	9851.34
6.42e-05	2.84279e-05	0.442518	9896.2
6.45e-05	2.85606e-05	0.442514	9941.05
6.48e-05	2.86934e-05	0.44251	9985.89
6.51e-05	2.88261e-05	0.442506	10030.7
6.54e-05	2.89589e-05	0.442502	10075.5
6.57e-05	2.90916e-05	0.442498	10120.3
6.6e-05	2.92244e-05	0.442494	10165.1
6.63e-05	2.93571e-05	0.44249	10209.9
6.66e-05	2.94899e-05	0.442486	10254.7
6.69e-05	2.96226e-05	0.442482	10299.5
6.72e-05	2.97554e-05	0.442478	10344.2
6.75e-05	2.98881e-05	0.442474	10388.9
6.78e-05	3.00208e-05	0.442469	10433.7
6.81e-05	3.01536e-05	0.442465	10478.4
6.84e-05	3.02863e-05	0.442461	10523.1
6.87e-05	3.04191e-05	0.442457	10567.8
6.9e-05	3.05518e-05	0.442453	10612.5
6.93e-05	3.06845e-05	0.442448	10657.1
