t(s)	x(m)	v(m/s)	F(N)
0	0	0.626418	0
3e-07	1.87926e-07	0.626418	47.8022
6e-07	3.75851e-07	0.626418	95.5952
9e-07	5.63777e-07	0.626418	143.379
1.2e-06	7.51702e-07	0.626418	191.154
1.5e-06	9.39627e-07	0.626418	238.919
1.8e-06	1.12755e-06	0.626418	286.676
2.1e-06	1.31548e-06	0.626418	334.423
2.4e-06	1.5034e-06	0.626418	382.161
2.7e-06	1.69133e-06	0.626417	429.89
3e-06	1.87925e-06	0.626417	477.611
3.3e-06	2.06718e-06	0.626417	525.322
3.6e-06	2.2551e-06	0.626416	573.024
3.9e-06	2.44303e-06	0.626416	620.717
4.2e-06	2.63095e-06	0.626416	668.402
4.5e-06	2.81888e-06	0.626415	716.077
4.8e-06	3.0068e-06	0.626415	763.744
5.1e-06	3.19473e-06	0.626415	811.402
5.4e-06	3.38265e-06	0.626414	859.051
5.7e-06	3.57058e-06	0.626414	906.691
6e-06	3.7585e-06	0.626413	954.323
6.3e-06	3.94642e-06	0.626412	1001.95
6.6e-06	4.13435e-06	0.626412	1049.56
6.9e-06	4.32227e-06	0.626411	1097.17
7.2e-06	4.51019e-06	0.626411	1144.76
7.5e-06	4.69812e-06	0.62641	1192.35
7.8e-06	4.88604e-06	0.626409	1239.93
8.1e-06	5.07396e-06	0.626409	1287.5
8.4e-06	5.26188e-06	0.626408	1335.06
8.7e-06	5.44981e-06	0.626407	1382.62
9e-06	5.63773e-06	0.626406	1430.16
9.3e-06	5.82565e-06	0.626405	1477.7
9.6e-06	6.01357e-06	0.626405	1525.23
9.9e-06	6.20149e-06	0.626404	1572.75
1.02e-05	6.38941e-06	0.626403	1620.26
1.05e-05	6.57734e-06	0.626402	1667.77
1.08e-05	6.76526e-06	0.626401	1715.26
1.11e-05	6.95318e-06	0.6264	1762.75
1.14e-05	7.1411e-06	0.626399	1810.23
1.17e-05	7.32902e-06	0.626398	1857.7
1.2e-05	7.51693e-06	0.626397	1905.16
1.23e-05	7.70485e-06	0.626396	1952.61
1.26e-05	7.89277e-06	0.626395	2000.06
1.29e-05	8.08069e-06	0.626394	2047.5
1.32e-05	8.26861e-06	0.626392	2094.93
1.35e-05	8.45653e-06	0.626391	2142.35
1.38e-05	8.64444e-06	0.62639	2189.76
1.41e-05	8.83236e-06	0.626389	2237.17
1.44e-05	9.02028e-06	0.626387	2284.56
1.47e-05	9.20819e-06	0.626386	2331.95
1.5e-05	9.39611e-06	0.626385	2379.34
1.53e-05	9.58402e-06	0.626383	2426.71
1.56e-05	9.77194e-06	0.626382	2474.07
1.59e-05	9.95985e-06	0.626381	2521.43
1.62e-05	1.01478e-05	0.626379	2568.78
1.65e-05	1.03357e-05	0.626378	2616.12
1.68e-05	1.05236e-05	0.626376	2663.46
1.71e-05	1.07115e-05	0.626375	2710.78
1.74e-05	1.08994e-05	0.626373	2758.1
1.77e-05	1.10873e-05	0.626372	2805.41
1.8e-05	1.12752e-05	0.62637	2852.72
1.83e-05	1.14632e-05	0.626368	2900.01
1.86e-05	1.16511e-05	0.626367	2947.3
1.89e-05	1.1839e-05	0.626365	2994.58
1.92e-05	1.20269e-05	0.626363	3041.85
1.95e-05	1.22148e-05	0.626362	3089.12
1.98e-05	1.24027e-05	0.62636	3136.38
2.01e-05	1.25906e-05	0.626358	3183.63
2.04e-05	1.27785e-05	0.626356	3230.87
2.07e-05	1.29664e-05	0.626355	3278.1
2.1e-05	1.31543e-05	0.626353	3325.33
2.13e-05	1.33422e-05	0.626351	3372.55
2.16e-05	1.35301e-05	0.626349	3419.76
2.19e-05	1.3718e-05	0.626347	3466.97
2.22e-05	1.39059e-05	0.626345	3514.17
2.25e-05	1.40938e-05	0.626343	3561.36
2.28e-05	1.42817e-05	0.626341	3608.54
2.31e-05	1.44697e-05	0.626339	3655.72
2.34e-05	1.46576e-05	0.626337	3702.89
2.37e-05	1.48455e-05	0.626335	3750.05
2.4e-05	1.50334e-05	0.626333	3797.2
2.43e-05	1.52213e-05	0.62633	3844.35
2.46e-05	1.54092e-05	0.626328	3891.49
2.49e-05	1.55971e-05	0.626326	3938.62
2.52e-05	1.57849e-05	0.626324	3985.75
2.55e-05	1.59728e-05	0.626322	4032.87
2.58e-05	1.61607e-05	0.626319	4079.98
2.61e-05	1.63486e-05	0.626317	4127.08
2.64e-05	1.65365e-05	0.626315	4174.18
2.67e-05	1.67244e-05	0.626312	4221.27
2.7e-05	1.69123e-05	0.62631	4268.36
2.73e-05	1.71002e-05	0.626307	4315.43
2.76e-05	1.72881e-05	0.626305	4362.5
2.79e-05	1.7476e-05	0.626302	4409.57
2.82e-05	1.76639e-05	0.6263	4456.62
2.85e-05	1.78518e-05	0.626297	4503.67
2.88e-05	1.80397e-05	0.626295	4550.72
2.91e-05	1.82276e-05	0.626292	4597.75
2.94e-05	1.84154e-05	0.62629	4644.78
2.97e-05	1.86033e-05	0.626287	4691.8
3e-05	1.87912e-05	0.626284	4738.82
3.03e-05	1.89791e-05	0.626282	4785.83
3.06e-05	1.9167e-05	0.626279	4832.83
3.09e-05	1.93549e-05	0.626276	4879.83
3.12e-05	1.95427e-05	0.626274	4926.81
3.15e-05	1.97306e-05	0.626271	4973.8
3.18e-05	1.99185e-05	0.626268	5020.77
3.21e-05	2.01064e-05	0.626265	5067.74
3.24e-05	2.02943e-05	0.626262	5114.71
3.27e-05	2.04821e-05	0.626259	5161.66
3.3e-05	2.067e-05	0.626256	5208.61
3.33e-05	2.08579e-05	0.626253	5255.56
3.36e-05	2.10458e-05	0.62625	5302.49
3.39e-05	2.12336e-05	0.626247	5349.42
3.42e-05	2.14215e-05	0.626244	5396.35
3.45e-05	2.16094e-05	0.626241	5443.27
3.48e-05	2.17973e-05	0.626238	5490.18
3.51e-05	2.19851e-05	0.626235	5537.08
3.54e-05	2.2173e-05	0.626232	5583.98
3.57e-05	2.23609e-05	0.626229	5630.88
3.6e-05	2.25487e-05	0.626226	5677.76
3.63e-05	2.27366e-05	0.626222	5724.64
3.66e-05	2.29245e-05	0.626219	5771.52
3.69e-05	2.31123e-05	0.626216	5818.39
3.72e-05	2.33002e-05	0.626213	5865.25
3.75e-05	2.34881e-05	0.626209	5912.1
3.78e-05	2.36759e-05	0.626206	5958.95
3.81e-05	2.38638e-05	0.626203	6005.8
3.84e-05	2.40517e-05	0.626199	6052.64
3.87e-05	2.42395e-05	0.626196	6099.47
3.9e-05	2.44274e-05	0.626192	6146.29
3.93e-05	2.46152e-05	0.626189	6193.11
3.96e-05	2.48031e-05	0.626185	6239.93
3.99e-05	2.49909e-05	0.626182	6286.74
4.02e-05	2.51788e-05	0.626178	6333.54
4.05e-05	2.53666e-05	0.626175	6380.34
4.08e-05	2.55545e-05	0.626171	6427.13
4.11e-05	2.57424e-05	0.626167	6473.91
4.14e-05	2.59302e-05	0.626164	6520.69
4.17e-05	2.61181e-05	0.62616	6567.46
4.2e-05	2.63059e-05	0.626156	6614.23
4.23e-05	2.64937e-05	0.626153	6660.99
4.26e-05	2.66816e-05	0.626149	6707.75
4.29e-05	2.68694e-05	0.626145	6754.5
4.32e-05	2.70573e-05	0.626141	6801.24
4.35e-05	2.72451e-05	0.626137	6847.98
4.38e-05	2.7433e-05	0.626134	6894.72
4.41e-05	2.76208e-05	0.62613	6941.45
4.44e-05	2.78086e-05	0.626126	6988.17
4.47e-05	2.79965e-05	0.626122	7034.89
4.5e-05	2.81843e-05	0.626118	7081.6
4.53e-05	2.83721e-05	0.626114	7128.3
4.56e-05	2.856e-05	0.62611	7175
4.59e-05	2.87478e-05	0.626106	7221.7
4.62e-05	2.89356e-05	0.626102	7268.39
4.65e-05	2.91235e-05	0.626098	7315.07
4.68e-05	2.93113e-05	0.626093	7361.75
4.71e-05	2.94991e-05	0.626089	7408.43
4.74e-05	2.9687e-05	0.626085	7455.1
4.77e-05	2.98748e-05	0.626081	7501.76
4.8e-05	3.00626e-05	0.626077	7548.42
4.83e-05	3.02504e-05	0.626072	7595.07
4.86e-05	3.04382e-05	0.626068	7641.72
4.89e-05	3.06261e-05	0.626064	7688.36
4.92e-05	3.08139e-05	0.626059	7735
4.95e-05	3.10017e-05	0.626055	7781.63
4.98e-05	3.11895e-05	0.626051	7828.26
5.01e-05	3.13773e-05	0.626046	7874.88
5.04e-05	3.15651e-05	0.626042	7921.5
5.07e-05	3.1753e-05	0.626037	7968.11
5.1e-05	3.19408e-05	0.626033	8014.71
5.13e-05	3.21286e-05	0.626028	8061.32
5.16e-05	3.23164e-05	0.626024	8107.91
5.19e-05	3.25042e-05	0.626019	8154.51
5.22e-05	3.2692e-05	0.626014	8201.09
5.25e-05	3.28798e-05	0.62601	8247.67
5.28e-05	3.30676e-05	0.626005	8294.25
5.31e-05	3.32554e-05	0.626	8340.82
5.34e-05	3.34432e-05	0.625996	8387.39
5.37e-05	3.3631e-05	0.625991	8433.95
5.4e-05	3.38188e-05	0.625986	8480.51
5.43e-05	3.40066e-05	0.625981	8527.07
5.46e-05	3.41944e-05	0.625977	8573.61
5.49e-05	3.43822e-05	0.625972	8620.16
5.52e-05	3.457e-05	0.625967	8666.7
5.55e-05	3.47578e-05	0.625962	8713.23
5.58e-05	3.49455e-05	0.625957	8759.76
5.61e-05	3.51333e-05	0.625952	8806.29
5.64e-05	3.53211e-05	0.625947	8852.81
5.67e-05	3.55089e-05	0.625942	8899.32
5.7e-05	3.56967e-05	0.625937	8945.83
5.73e-05	3.58845e-05	0.625932	8992.34
5.76e-05	3.60722e-05	0.625927	9038.84
5.79e-05	3.626e-05	0.625922	9085.34
5.82e-05	3.64478e-05	0.625917	9131.83
5.85e-05	3.66356e-05	0.625912	9178.32
5.88e-05	3.68233e-05	0.625906	9224.81
5.91e-05	3.70111e-05	0.625901	9271.29
5.94e-05	3.71989e-05	0.625896	9317.76
5.97e-05	3.73866e-05	0.625891	9364.24
6e-05	3.75744e-05	0.625885	9410.7
6.03e-05	3.77622e-05	0.62588	9457.16
6.06e-05	3.79499e-05	0.625875	9503.62
6.09e-05	3.81377e-05	0.625869	9550.08
6.12e-05	3.83255e-05	0.625864	9596.53
6.15e-05	3.85132e-05	0.625858	9642.97
6.18e-05	3.8701e-05	0.625853	9689.42
6.21e-05	3.88887e-05	0.625848	9735.85
6.24e-05	3.90765e-05	0.625842	9782.29
6.27e-05	3.92642e-05	0.625837	9828.72
6.3e-05	3.9452e-05	0.625831	9875.14
6.33e-05	3.96397e-05	0.625825	9921.56
6.36e-05	3.98275e-05	0.62582	9967.98
6.39e-05	4.00152e-05	0.625814	10014.4
6.42e-05	4.0203e-05	0.625808	10060.8
6.45e-05	4.03907e-05	0.625803	10107.2
6.48e-05	4.05785e-05	0.625797	10153.6
6.51e-05	4.07662e-05	0.625791	10200
6.54e-05	4.09539e-05	0.625786	10246.4
6.57e-05	4.11417e-05	0.62578	10292.8
