t(s)	x(m)	v(m/s)	F(N)
0	0	1.08499	0
3e-07	3.25497e-07	1.08499	47.8111
6e-07	6.50993e-07	1.08499	95.6307
9e-07	9.7649e-07	1.08499	143.459
1.2e-06	1.30199e-06	1.08499	191.296
1.5e-06	1.62748e-06	1.08499	239.141
1.8e-06	1.95298e-06	1.08499	286.995
2.1e-06	2.27848e-06	1.08499	334.858
2.4e-06	2.60397e-06	1.08499	382.73
2.7e-06	2.92947e-06	1.08499	430.61
3e-06	3.25496e-06	1.08499	478.499
3.3e-06	3.58046e-06	1.08499	526.397
3.6e-06	3.90595e-06	1.08499	574.304
3.9e-06	4.23145e-06	1.08498	622.22
4.2e-06	4.55695e-06	1.08498	670.145
4.5e-06	4.88244e-06	1.08498	718.079
4.8e-06	5.20794e-06	1.08498	766.022
5.1e-06	5.53343e-06	1.08498	813.974
5.4e-06	5.85892e-06	1.08498	861.935
5.7e-06	6.18442e-06	1.08498	909.905
6e-06	6.50991e-06	1.08498	957.885
6.3e-06	6.83541e-06	1.08498	1005.87
6.6e-06	7.1609e-06	1.08498	1053.87
6.9e-06	7.48639e-06	1.08498	1101.88
7.2e-06	7.81188e-06	1.08498	1149.9
7.5e-06	8.13738e-06	1.08497	1197.92
7.8e-06	8.46287e-06	1.08497	1245.96
8.1e-06	8.78836e-06	1.08497	1294
8.4e-06	9.11385e-06	1.08497	1342.06
8.7e-06	9.43934e-06	1.08497	1390.12
9e-06	9.76483e-06	1.08497	1438.2
9.3e-06	1.00903e-05	1.08497	1486.28
9.6e-06	1.04158e-05	1.08496	1534.37
9.9e-06	1.07413e-05	1.08496	1582.48
1.02e-05	1.10668e-05	1.08496	1630.59
1.05e-05	1.13923e-05	1.08496	1678.71
1.08e-05	1.17178e-05	1.08496	1726.84
1.11e-05	1.20433e-05	1.08496	1774.99
1.14e-05	1.23687e-05	1.08495	1823.14
1.17e-05	1.26942e-05	1.08495	1871.3
1.2e-05	1.30197e-05	1.08495	1919.47
1.23e-05	1.33452e-05	1.08495	1967.66
1.26e-05	1.36707e-05	1.08495	2015.85
1.29e-05	1.39962e-05	1.08495	2064.05
1.32e-05	1.43216e-05	1.08494	2112.26
1.35e-05	1.46471e-05	1.08494	2160.49
1.38e-05	1.49726e-05	1.08494	2208.72
1.41e-05	1.52981e-05	1.08494	2256.96
1.44e-05	1.56236e-05	1.08493	2305.22
1.47e-05	1.59491e-05	1.08493	2353.48
1.5e-05	1.62745e-05	1.08493	2401.75
1.53e-05	1.66e-05	1.08493	2450.04
1.56e-05	1.69255e-05	1.08493	2498.33
1.59e-05	1.7251e-05	1.08492	2546.64
1.62e-05	1.75764e-05	1.08492	2594.95
1.65e-05	1.79019e-05	1.08492	2643.28
1.68e-05	1.82274e-05	1.08492	2691.62
1.71e-05	1.85529e-05	1.08491	2739.97
1.74e-05	1.88783e-05	1.08491	2788.33
1.77e-05	1.92038e-05	1.08491	2836.7
1.8e-05	1.95293e-05	1.0849	2885.08
1.83e-05	1.98548e-05	1.0849	2933.47
1.86e-05	2.01802e-05	1.0849	2981.87
1.89e-05	2.05057e-05	1.0849	3030.28
1.92e-05	2.08312e-05	1.08489	3078.7
1.95e-05	2.11566e-05	1.08489	3127.14
1.98e-05	2.14821e-05	1.08489	3175.58
2.01e-05	2.18076e-05	1.08488	3224.04
2.04e-05	2.2133e-05	1.08488	3272.51
2.07e-05	2.24585e-05	1.08488	3320.99
2.1e-05	2.2784e-05	1.08487	3369.48
2.13e-05	2.31094e-05	1.08487	3417.98
2.16e-05	2.34349e-05	1.08487	3466.49
2.19e-05	2.37603e-05	1.08486	3515.02
2.22e-05	2.40858e-05	1.08486	3563.55
2.25e-05	2.44113e-05	1.08486	3612.1
