t(s)	x(m)	v(m/s)	F(N)
0	0	0.767203	0
3e-07	2.30161e-07	0.767203	47.8049
6e-07	4.60322e-07	0.767203	95.6061
9e-07	6.90482e-07	0.767203	143.404
1.2e-06	9.20643e-07	0.767202	191.197
1.5e-06	1.1508e-06	0.767202	238.987
1.8e-06	1.38096e-06	0.767202	286.774
2.1e-06	1.61113e-06	0.767202	334.556
2.4e-06	1.84129e-06	0.767202	382.336
2.7e-06	2.07145e-06	0.767201	430.111
3e-06	2.30161e-06	0.767201	477.883
3.3e-06	2.53177e-06	0.767201	525.652
3.6e-06	2.76193e-06	0.7672	573.417
3.9e-06	2.99209e-06	0.7672	621.178
4.2e-06	3.22225e-06	0.767199	668.936
4.5e-06	3.45241e-06	0.767199	716.691
4.8e-06	3.68257e-06	0.767198	764.442
5.1e-06	3.91273e-06	0.767198	812.19
5.4e-06	4.14289e-06	0.767197	859.935
5.7e-06	4.37304e-06	0.767197	907.677
6e-06	4.6032e-06	0.767196	955.415
6.3e-06	4.83336e-06	0.767195	1003.15
6.6e-06	5.06352e-06	0.767195	1050.88
6.9e-06	5.29368e-06	0.767194	1098.61
7.2e-06	5.52384e-06	0.767193	1146.34
7.5e-06	5.75399e-06	0.767192	1194.06
7.8e-06	5.98415e-06	0.767192	1241.78
8.1e-06	6.21431e-06	0.767191	1289.49
8.4e-06	6.44447e-06	0.76719	1337.21
8.7e-06	6.67462e-06	0.767189	1384.92
9e-06	6.90478e-06	0.767188	1432.62
9.3e-06	7.13494e-06	0.767187	1480.33
9.6e-06	7.36509e-06	0.767186	1528.03
9.9e-06	7.59525e-06	0.767185	1575.73
1.02e-05	7.8254e-06	0.767184	1623.42
1.05e-05	8.05556e-06	0.767183	1671.12
1.08e-05	8.28571e-06	0.767181	1718.81
1.11e-05	8.51587e-06	0.76718	1766.49
1.14e-05	8.74602e-06	0.767179	1814.18
1.17e-05	8.97617e-06	0.767178	1861.86
1.2e-05	9.20633e-06	0.767176	1909.54
1.23e-05	9.43648e-06	0.767175	1957.22
1.26e-05	9.66663e-06	0.767174	2004.89
1.29e-05	9.89678e-06	0.767172	2052.56
1.32e-05	1.01269e-05	0.767171	2100.23
1.35e-05	1.03571e-05	0.767169	2147.89
1.38e-05	1.05872e-05	0.767168	2195.56
1.41e-05	1.08174e-05	0.767166	2243.22
1.44e-05	1.10475e-05	0.767165	2290.88
1.47e-05	1.12777e-05	0.767163	2338.53
1.5e-05	1.15078e-05	0.767161	2386.19
1.53e-05	1.1738e-05	0.76716	2433.84
1.56e-05	1.19681e-05	0.767158	2481.49
