t(s)	x(m)	v(m/s)
0	0	1.32883
3e-07	3.9865e-07	1.32883
6e-07	7.973e-07	1.32883
9e-07	1.19595e-06	1.32883
1.2e-06	1.5946e-06	1.32883
1.5e-06	1.99325e-06	1.32883
1.8e-06	2.3919e-06	1.32883
2.1e-06	2.79055e-06	1.32883
2.4e-06	3.1892e-06	1.32883
2.7e-06	3.58785e-06	1.32883
3e-06	3.9865e-06	1.32883
3.3e-06	4.38515e-06	1.32883
3.6e-06	4.7838e-06	1.32883
3.9e-06	5.18245e-06	1.32883
4.2e-06	5.5811e-06	1.32883
4.5e-06	5.97974e-06	1.32883
4.8e-06	6.37839e-06	1.32883
5.1e-06	6.77704e-06	1.32883
5.4e-06	7.17569e-06	1.32882
5.7e-06	7.57433e-06	1.32882
6e-06	7.97298e-06	1.32882
6.3e-06	8.37163e-06	1.32882
6.6e-06	8.77027e-06	1.32882
6.9e-06	9.16892e-06	1.32882
7.2e-06	9.56757e-06	1.32882
7.5e-06	9.96621e-06	1.32882
7.8e-06	1.03649e-05	1.32881
8.1e-06	1.07635e-05	1.32881
8.4e-06	1.11621e-05	1.32881
8.7e-06	1.15608e-05	1.32881
9e-06	1.19594e-05	1.32881
9.3e-06	1.23581e-05	1.32881
9.6e-06	1.27567e-05	1.3288
9.9e-06	1.31554e-05	1.3288
1.02e-05	1.3554e-05	1.3288
1.05e-05	1.39526e-05	1.3288
1.08e-05	1.43513e-05	1.3288
1.11e-05	1.47499e-05	1.32879
1.14e-05	1.51486e-05	1.32879
1.17e-05	1.55472e-05	1.32879
1.2e-05	1.59458e-05	1.32879
1.23e-05	1.63445e-05	1.32879
1.26e-05	1.67431e-05	1.32878
1.29e-05	1.71417e-05	1.32878
1.32e-05	1.75404e-05	1.32878
1.35e-05	1.7939e-05	1.32878
1.38e-05	1.83376e-05	1.32877
1.41e-05	1.87363e-05	1.32877
1.44e-05	1.91349e-05	1.32877
1.47e-05	1.95335e-05	1.32877
1.5e-05	1.99322e-05	1.32876
1.53e-05	2.03308e-05	1.32876
1.56e-05	2.07294e-05	1.32876
1.59e-05	2.1128e-05	1.32875
1.62e-05	2.15267e-05	1.32875
1.65e-05	2.19253e-05	1.32875
1.68e-05	2.23239e-05	1.32874
1.71e-05	2.27225e-05	1.32874
1.74e-05	2.31212e-05	1.32874
1.77e-05	2.35198e-05	1.32873
1.8e-05	2.39184e-05	1.32873
1.83e-05	2.4317e-05	1.32873
1.86e-05	2.47156e-05	1.32872
1.89e-05	2.51142e-05	1.32872
1.92e-05	2.55129e-05	1.32872
1.95e-05	2.59115e-05	1.32871
1.98e-05	2.63101e-05	1.32871
2.01e-05	2.67087e-05	1.3287
2.04e-05	2.71073e-05	1.3287
2.07e-05	2.75059e-05	1.3287
2.1e-05	2.79045e-05	1.32869
2.13e-05	2.83031e-05	1.32869
2.16e-05	2.87017e-05	1.32868
2.19e-05	2.91003e-05	1.32868
2.22e-05	2.94989e-05	1.32868
2.25e-05	2.98976e-05	1.32867
2.28e-05	3.02962e-05	1.32867
2.31e-05	3.06948e-05	1.32866
2.34e-05	3.10934e-05	1.32866
2.37e-05	3.14919e-05	1.32865
2.4e-05	3.18905e-05	1.32865
2.43e-05	3.22891e-05	1.32864
2.46e-05	3.26877e-05	1.32864
2.49e-05	3.30863e-05	1.32863
2.52e-05	3.34849e-05	1.32863
2.55e-05	3.38835e-05	1.32863
2.58e-05	3.42821e-05	1.32862
2.61e-05	3.46807e-05	1.32862
2.64e-05	3.50793e-05	1.32861
2.67e-05	3.54778e-05	1.3286
2.7e-05	3.58764e-05	1.3286
2.73e-05	3.6275e-05	1.32859
2.76e-05	3.66736e-05	1.32859
2.79e-05	3.70722e-05	1.32858
2.82e-05	3.74707e-05	1.32858
2.85e-05	3.78693e-05	1.32857
2.88e-05	3.82679e-05	1.32857
2.91e-05	3.86664e-05	1.32856
2.94e-05	3.9065e-05	1.32856
2.97e-05	3.94636e-05	1.32855
3e-05	3.98621e-05	1.32854
3.03e-05	4.02607e-05	1.32854
3.06e-05	4.06593e-05	1.32853
3.09e-05	4.10578e-05	1.32853
3.12e-05	4.14564e-05	1.32852
3.15e-05	4.18549e-05	1.32851
3.18e-05	4.22535e-05	1.32851
3.21e-05	4.2652e-05	1.3285
3.24e-05	4.30506e-05	1.3285
3.27e-05	4.34491e-05	1.32849
3.3e-05	4.38477e-05	1.32848
3.33e-05	4.42462e-05	1.32848
3.36e-05	4.46448e-05	1.32847
3.39e-05	4.50433e-05	1.32846
3.42e-05	4.54418e-05	1.32846
3.45e-05	4.58404e-05	1.32845
3.48e-05	4.62389e-05	1.32844
3.51e-05	4.66374e-05	1.32844
3.54e-05	4.7036e-05	1.32843
3.57e-05	4.74345e-05	1.32842
3.6e-05	4.7833e-05	1.32842
3.63e-05	4.82316e-05	1.32841
3.66e-05	4.86301e-05	1.3284
3.69e-05	4.90286e-05	1.32839
3.72e-05	4.94271e-05	1.32839
3.75e-05	4.98256e-05	1.32838
3.78e-05	5.02241e-05	1.32837
3.81e-05	5.06226e-05	1.32837
3.84e-05	5.10212e-05	1.32836
3.87e-05	5.14197e-05	1.32835
3.9e-05	5.18182e-05	1.32834
3.93e-05	5.22167e-05	1.32833
