t(s)	x(m)	v(m/s)
3.96e-05	5.26152e-05	1.32833
3.99e-05	5.30137e-05	1.32832
4.02e-05	5.34122e-05	1.32831
4.05e-05	5.38107e-05	1.3283
4.08e-05	5.42091e-05	1.3283
4.11e-05	5.46076e-05	1.32829
4.14e-05	5.50061e-05	1.32828
4.17e-05	5.54046e-05	1.32827
4.2e-05	5.58031e-05	1.32826
4.23e-05	5.62016e-05	1.32825
4.26e-05	5.66e-05	1.32825
4.29e-05	5.69985e-05	1.32824
4.32e-05	5.7397e-05	1.32823
4.35e-05	5.77954e-05	1.32822
4.38e-05	5.81939e-05	1.32821
4.41e-05	5.85924e-05	1.3282
4.44e-05	5.89908e-05	1.3282
4.47e-05	5.93893e-05	1.32819
4.5e-05	5.97877e-05	1.32818
4.53e-05	6.01862e-05	1.32817
4.56e-05	6.05846e-05	1.32816
4.59e-05	6.09831e-05	1.32815
4.62e-05	6.13815e-05	1.32814
4.65e-05	6.178e-05	1.32813
4.68e-05	6.21784e-05	1.32812
4.71e-05	6.25768e-05	1.32811
4.74e-05	6.29753e-05	1.3281
4.77e-05	6.33737e-05	1.3281
4.8e-05	6.37721e-05	1.32809
4.83e-05	6.41706e-05	1.32808
4.86e-05	6.4569e-05	1.32807
4.89e-05	6.49674e-05	1.32806
4.92e-05	6.53658e-05	1.32805
4.95e-05	6.57642e-05	1.32804
4.98e-05	6.61626e-05	1.32803
5.01e-05	6.6561e-05	1.32802
5.04e-05	6.69594e-05	1.32801
5.07e-05	6.73578e-05	1.328
5.1e-05	6.77562e-05	1.32799
5.13e-05	6.81546e-05	1.32798
5.16e-05	6.8553e-05	1.32797
5.19e-05	6.89514e-05	1.32796
5.22e-05	6.93498e-05	1.32795
5.25e-05	6.97482e-05	1.32794
5.28e-05	7.01466e-05	1.32793
5.31e-05	7.05449e-05	1.32792
5.34e-05	7.09433e-05	1.32791
5.37e-05	7.13417e-05	1.3279
5.4e-05	7.17401e-05	1.32788
5.43e-05	7.21384e-05	1.32787
5.46e-05	7.25368e-05	1.32786
5.49e-05	7.29351e-05	1.32785
5.52e-05	7.33335e-05	1.32784
5.55e-05	7.37318e-05	1.32783
5.58e-05	7.41302e-05	1.32782
5.61e-05	7.45285e-05	1.32781
5.64e-05	7.49269e-05	1.3278
5.67e-05	7.53252e-05	1.32779
5.7e-05	7.57235e-05	1.32777
5.73e-05	7.61219e-05	1.32776
5.76e-05	7.65202e-05	1.32775
5.79e-05	7.69185e-05	1.32774
5.82e-05	7.73168e-05	1.32773
5.85e-05	7.77152e-05	1.32772
5.88e-05	7.81135e-05	1.32771
5.91e-05	7.85118e-05	1.32769
5.94e-05	7.89101e-05	1.32768
5.97e-05	7.93084e-05	1.32767
6e-05	7.97067e-05	1.32766
6.03e-05	8.0105e-05	1.32765
6.06e-05	8.05033e-05	1.32763
6.09e-05	8.09016e-05	1.32762
6.12e-05	8.12999e-05	1.32761
6.15e-05	8.16981e-05	1.3276
6.18e-05	8.20964e-05	1.32759
6.21e-05	8.24947e-05	1.32757
6.24e-05	8.2893e-05	1.32756
6.27e-05	8.32912e-05	1.32755
6.3e-05	8.36895e-05	1.32754
6.33e-05	8.40877e-05	1.32752
6.36e-05	8.4486e-05	1.32751
6.39e-05	8.48843e-05	1.3275
6.42e-05	8.52825e-05	1.32748
6.45e-05	8.56807e-05	1.32747
6.48e-05	8.6079e-05	1.32746
6.51e-05	8.64772e-05	1.32745
6.54e-05	8.68755e-05	1.32743
6.57e-05	8.72737e-05	1.32742
6.6e-05	8.76719e-05	1.32741
6.63e-05	8.80701e-05	1.32739
6.66e-05	8.84683e-05	1.32738
6.69e-05	8.88666e-05	1.32737
6.72e-05	8.92648e-05	1.32735
6.75e-05	8.9663e-05	1.32734
6.78e-05	9.00612e-05	1.32733
6.81e-05	9.04594e-05	1.32731
6.84e-05	9.08576e-05	1.3273
6.87e-05	9.12557e-05	1.32729
6.9e-05	9.16539e-05	1.32727
6.93e-05	9.20521e-05	1.32726
6.96e-05	9.24503e-05	1.32724
6.99e-05	9.28484e-05	1.32723
7.02e-05	9.32466e-05	1.32722
7.05e-05	9.36448e-05	1.3272
7.08e-05	9.40429e-05	1.32719
7.11e-05	9.44411e-05	1.32717
7.14e-05	9.48392e-05	1.32716
7.17e-05	9.52374e-05	1.32714
7.2e-05	9.56355e-05	1.32713
7.23e-05	9.60337e-05	1.32712
7.26e-05	9.64318e-05	1.3271
7.29e-05	9.68299e-05	1.32709
7.32e-05	9.7228e-05	1.32707
7.35e-05	9.76262e-05	1.32706
7.38e-05	9.80243e-05	1.32704
7.41e-05	9.84224e-05	1.32703
7.44e-05	9.88205e-05	1.32701
7.47e-05	9.92186e-05	1.327
7.5e-05	9.96167e-05	1.32698
7.53e-05	0.000100015	1.32697
7.56e-05	0.000100413	1.32695
7.59e-05	0.000100811	1.32694
7.62e-05	0.000101209	1.32692
7.65e-05	0.000101607	1.32691
7.68e-05	0.000102005	1.32689
7.71e-05	0.000102403	1.32687
7.74e-05	0.000102801	1.32686
7.77e-05	0.000103199	1.32684
7.8e-05	0.000103597	1.32683
7.83e-05	0.000103995	1.32681
7.86e-05	0.000104393	1.3268
7.89e-05	0.000104792	1.32678
7.92e-05	0.00010519	1.32676
7.95e-05	0.000105588	1.32675
7.98e-05	0.000105986	1.32673
8.01e-05	0.000106384	1.32672
8.04e-05	0.000106782	1.3267
8.07e-05	0.00010718	1.32668
8.1e-05	0.000107578	1.32667
8.13e-05	0.000107976	1.32665
8.16e-05	0.000108374	1.32663
8.19e-05	0.000108772	1.32662
8.22e-05	0.00010917	1.3266
8.25e-05	0.000109568	1.32658
8.28e-05	0.000109966	1.32657
8.31e-05	0.000110364	1.32655
8.34e-05	0.000110761	1.32653
8.37e-05	0.000111159	1.32652
8.4e-05	0.000111557	1.3265
8.43e-05	0.000111955	1.32648
8.46e-05	0.000112353	1.32646
8.49e-05	0.000112751	1.32645
8.52e-05	0.000113149	1.32643
8.55e-05	0.000113547	1.32641
8.58e-05	0.000113945	1.3264
8.61e-05	0.000114343	1.32638
8.64e-05	0.000114741	1.32636
8.67e-05	0.000115139	1.32634
8.7e-05	0.000115537	1.32632
8.73e-05	0.000115935	1.32631
8.76e-05	0.000116332	1.32629
8.79e-05	0.00011673	1.32627
8.82e-05	0.000117128	1.32625
8.85e-05	0.000117526	1.32624
8.88e-05	0.000117924	1.32622
8.91e-05	0.000118322	1.3262
8.94e-05	0.00011872	1.32618
8.97e-05	0.000119117	1.32616
9e-05	0.000119515	1.32614
9.03e-05	0.000119913	1.32613
9.06e-05	0.000120311	1.32611
9.09e-05	0.000120709	1.32609
9.12e-05	0.000121107	1.32607
9.15e-05	0.000121504	1.32605
9.18e-05	0.000121902	1.32603
9.21e-05	0.0001223	1.32601
9.24e-05	0.000122698	1.32599
9.27e-05	0.000123096	1.32598
9.3e-05	0.000123493	1.32596
9.33e-05	0.000123891	1.32594
9.36e-05	0.000124289	1.32592
9.39e-05	0.000124687	1.3259
9.42e-05	0.000125085	1.32588
9.45e-05	0.000125482	1.32586
9.48e-05	0.00012588	1.32584
9.51e-05	0.000126278	1.32582
9.54e-05	0.000126676	1.3258
9.57e-05	0.000127073	1.32578
9.6e-05	0.000127471	1.32576
9.63e-05	0.000127869	1.32574
9.66e-05	0.000128267	1.32572
9.69e-05	0.000128664	1.3257
9.72e-05	0.000129062	1.32568
9.75e-05	0.00012946	1.32566
9.78e-05	0.000129857	1.32564
9.81e-05	0.000130255	1.32562
9.84e-05	0.000130653	1.3256
9.87e-05	0.00013105	1.32558
9.9e-05	0.000131448	1.32556
9.93e-05	0.000131846	1.32554
9.96e-05	0.000132243	1.32552
9.99e-05	0.000132641	1.3255
0.0001002	0.000133039	1.32548
0.0001005	0.000133436	1.32546
0.0001008	0.000133834	1.32544
0.0001011	0.000134232	1.32542
0.0001014	0.000134629	1.3254
0.0001017	0.000135027	1.32538
0.000102	0.000135424	1.32535
0.0001023	0.000135822	1.32533
0.0001026	0.00013622	1.32531
0.0001029	0.000136617	1.32529
0.0001032	0.000137015	1.32527
0.0001035	0.000137412	1.32525
0.0001038	0.00013781	1.32523
0.0001041	0.000138208	1.32521
0.0001044	0.000138605	1.32518
0.0001047	0.000139003	1.32516
0.000105	0.0001394	1.32514
0.0001053	0.000139798	1.32512
0.0001056	0.000140195	1.3251
0.0001059	0.000140593	1.32507
0.0001062	0.00014099	1.32505
0.0001065	0.000141388	1.32503
0.0001068	0.000141785	1.32501
0.0001071	0.000142183	1.32499
0.0001074	0.00014258	1.32496
0.0001077	0.000142978	1.32494
0.000108	0.000143375	1.32492
0.0001083	0.000143773	1.3249
0.0001086	0.00014417	1.32487
0.0001089	0.000144568	1.32485
0.0001092	0.000144965	1.32483
0.0001095	0.000145363	1.32481
0.0001098	0.00014576	1.32478
0.0001101	0.000146157	1.32476
0.0001104	0.000146555	1.32474
0.0001107	0.000146952	1.32471
0.000111	0.00014735	1.32469
0.0001113	0.000147747	1.32467
0.0001116	0.000148144	1.32464
0.0001119	0.000148542	1.32462
0.0001122	0.000148939	1.3246
0.0001125	0.000149337	1.32457
0.0001128	0.000149734	1.32455
0.0001131	0.000150131	1.32453
0.0001134	0.000150529	1.3245
0.0001137	0.000150926	1.32448
0.000114	0.000151323	1.32446
0.0001143	0.000151721	1.32443
0.0001146	0.000152118	1.32441
0.0001149	0.000152515	1.32438
0.0001152	0.000152913	1.32436
0.0001155	0.00015331	1.32434
0.0001158	0.000153707	1.32431
0.0001161	0.000154105	1.32429
0.0001164	0.000154502	1.32426
0.0001167	0.000154899	1.32424
0.000117	0.000155296	1.32421
0.0001173	0.000155694	1.32419
0.0001176	0.000156091	1.32417
0.0001179	0.000156488	1.32414
0.0001182	0.000156885	1.32412
0.0001185	0.000157283	1.32409
0.0001188	0.00015768	1.32407
0.0001191	0.000158077	1.32404
0.0001194	0.000158474	1.32402
0.0001197	0.000158871	1.32399
0.00012	0.000159269	1.32397
0.0001203	0.000159666	1.32394
0.0001206	0.000160063	1.32391
0.0001209	0.00016046	1.32389
0.0001212	0.000160857	1.32386
0.0001215	0.000161255	1.32384
0.0001218	0.000161652	1.32381
0.0001221	0.000162049	1.32379
0.0001224	0.000162446	1.32376
0.0001227	0.000162843	1.32374
0.000123	0.00016324	1.32371
0.0001233	0.000163637	1.32368
0.0001236	0.000164034	1.32366
0.0001239	0.000164432	1.32363
0.0001242	0.000164829	1.3236
0.0001245	0.000165226	1.32358
0.0001248	0.000165623	1.32355
0.0001251	0.00016602	1.32353
0.0001254	0.000166417	1.3235
0.0001257	0.000166814	1.32347
0.000126	0.000167211	1.32345
0.0001263	0.000167608	1.32342
0.0001266	0.000168005	1.32339
0.0001269	0.000168402	1.32337
0.0001272	0.000168799	1.32334
0.0001275	0.000169196	1.32331
0.0001278	0.000169593	1.32328
0.0001281	0.00016999	1.32326
0.0001284	0.000170387	1.32323
0.0001287	0.000170784	1.3232
0.000129	0.000171181	1.32318
0.0001293	0.000171578	1.32315
0.0001296	0.000171975	1.32312
0.0001299	0.000172372	1.32309
0.0001302	0.000172769	1.32307
0.0001305	0.000173166	1.32304
0.0001308	0.000173562	1.32301
0.0001311	0.000173959	1.32298
0.0001314	0.000174356	1.32295
0.0001317	0.000174753	1.32293
0.000132	0.00017515	1.3229
0.0001323	0.000175547	1.32287
0.0001326	0.000175944	1.32284
0.0001329	0.000176341	1.32281
0.0001332	0.000176737	1.32278
0.0001335	0.000177134	1.32276
0.0001338	0.000177531	1.32273
0.0001341	0.000177928	1.3227
0.0001344	0.000178325	1.32267
0.0001347	0.000178721	1.32264
0.000135	0.000179118	1.32261
0.0001353	0.000179515	1.32258
0.0001356	0.000179912	1.32256
0.0001359	0.000180309	1.32253
0.0001362	0.000180705	1.3225
0.0001365	0.000181102	1.32247
0.0001368	0.000181499	1.32244
0.0001371	0.000181896	1.32241
0.0001374	0.000182292	1.32238
0.0001377	0.000182689	1.32235
0.000138	0.000183086	1.32232
0.0001383	0.000183482	1.32229
0.0001386	0.000183879	1.32226
0.0001389	0.000184276	1.32223
0.0001392	0.000184672	1.3222
0.0001395	0.000185069	1.32217
0.0001398	0.000185466	1.32214
0.0001401	0.000185862	1.32211
0.0001404	0.000186259	1.32208
0.0001407	0.000186656	1.32205
0.000141	0.000187052	1.32202
0.0001413	0.000187449	1.32199
0.0001416	0.000187845	1.32196
0.0001419	0.000188242	1.32193
0.0001422	0.000188639	1.3219
0.0001425	0.000189035	1.32187
0.0001428	0.000189432	1.32184
0.0001431	0.000189828	1.32181
0.0001434	0.000190225	1.32178
0.0001437	0.000190621	1.32175
0.000144	0.000191018	1.32171
0.0001443	0.000191414	1.32168
0.0001446	0.000191811	1.32165
0.0001449	0.000192207	1.32162
0.0001452	0.000192604	1.32159
0.0001455	0.000193	1.32156
0.0001458	0.000193397	1.32153
0.0001461	0.000193793	1.32149
0.0001464	0.00019419	1.32146
0.0001467	0.000194586	1.32143
0.000147	0.000194982	1.3214
0.0001473	0.000195379	1.32137
0.0001476	0.000195775	1.32134
0.0001479	0.000196172	1.3213
0.0001482	0.000196568	1.32127
0.0001485	0.000196964	1.32124
0.0001488	0.000197361	1.32121
0.0001491	0.000197757	1.32118
0.0001494	0.000198154	1.32114
0.0001497	0.00019855	1.32111
0.00015	0.000198946	1.32108
0.0001503	0.000199342	1.32105
0.0001506	0.000199739	1.32101
0.0001509	0.000200135	1.32098
0.0001512	0.000200531	1.32095
0.0001515	0.000200928	1.32091
0.0001518	0.000201324	1.32088
0.0001521	0.00020172	1.32085
0.0001524	0.000202116	1.32081
0.0001527	0.000202513	1.32078
0.000153	0.000202909	1.32075
0.0001533	0.000203305	1.32071
0.0001536	0.000203701	1.32068
0.0001539	0.000204098	1.32065
0.0001542	0.000204494	1.32061
0.0001545	0.00020489	1.32058
0.0001548	0.000205286	1.32055
0.0001551	0.000205682	1.32051
0.0001554	0.000206078	1.32048
0.0001557	0.000206475	1.32044
0.000156	0.000206871	1.32041
0.0001563	0.000207267	1.32038
0.0001566	0.000207663	1.32034
0.0001569	0.000208059	1.32031
0.0001572	0.000208455	1.32027
0.0001575	0.000208851	1.32024
0.0001578	0.000209247	1.3202
0.0001581	0.000209643	1.32017
0.0001584	0.000210039	1.32014
0.0001587	0.000210435	1.3201
0.000159	0.000210831	1.32007
0.0001593	0.000211227	1.32003
0.0001596	0.000211623	1.32
0.0001599	0.000212019	1.31996
0.0001602	0.000212415	1.31993
0.0001605	0.000212811	1.31989
0.0001608	0.000213207	1.31986
0.0001611	0.000213603	1.31982
0.0001614	0.000213999	1.31978
0.0001617	0.000214395	1.31975
0.000162	0.000214791	1.31971
0.0001623	0.000215187	1.31968
0.0001626	0.000215583	1.31964
0.0001629	0.000215979	1.31961
0.0001632	0.000216375	1.31957
0.0001635	0.00021677	1.31953
0.0001638	0.000217166	1.3195
0.0001641	0.000217562	1.31946
0.0001644	0.000217958	1.31943
0.0001647	0.000218354	1.31939
0.000165	0.00021875	1.31935
0.0001653	0.000219145	1.31932
0.0001656	0.000219541	1.31928
0.0001659	0.000219937	1.31924
0.0001662	0.000220333	1.31921
0.0001665	0.000220729	1.31917
0.0001668	0.000221124	1.31913
0.0001671	0.00022152	1.3191
0.0001674	0.000221916	1.31906
0.0001677	0.000222311	1.31902
0.000168	0.000222707	1.31898
0.0001683	0.000223103	1.31895
0.0001686	0.000223499	1.31891
0.0001689	0.000223894	1.31887
0.0001692	0.00022429	1.31883
0.0001695	0.000224685	1.3188
0.0001698	0.000225081	1.31876
0.0001701	0.000225477	1.31872
0.0001704	0.000225872	1.31868
0.0001707	0.000226268	1.31865
0.000171	0.000226664	1.31861
0.0001713	0.000227059	1.31857
0.0001716	0.000227455	1.31853
0.0001719	0.00022785	1.31849
0.0001722	0.000228246	1.31845
0.0001725	0.000228641	1.31842
0.0001728	0.000229037	1.31838
0.0001731	0.000229432	1.31834
0.0001734	0.000229828	1.3183
0.0001737	0.000230223	1.31826
0.000174	0.000230619	1.31822
0.0001743	0.000231014	1.31818
0.0001746	0.00023141	1.31815
0.0001749	0.000231805	1.31811
0.0001752	0.000232201	1.31807
0.0001755	0.000232596	1.31803
0.0001758	0.000232991	1.31799
0.0001761	0.000233387	1.31795
0.0001764	0.000233782	1.31791
0.0001767	0.000234178	1.31787
0.000177	0.000234573	1.31783
0.0001773	0.000234968	1.31779
0.0001776	0.000235364	1.31775
0.0001779	0.000235759	1.31771
0.0001782	0.000236154	1.31767
0.0001785	0.000236549	1.31763
0.0001788	0.000236945	1.31759
0.0001791	0.00023734	1.31755
0.0001794	0.000237735	1.31751
0.0001797	0.000238131	1.31747
0.00018	0.000238526	1.31743
0.0001803	0.000238921	1.31739
0.0001806	0.000239316	1.31735
0.0001809	0.000239711	1.31731
0.0001812	0.000240107	1.31727
0.0001815	0.000240502	1.31723
0.0001818	0.000240897	1.31719
0.0001821	0.000241292	1.31715
0.0001824	0.000241687	1.3171
0.0001827	0.000242082	1.31706
0.000183	0.000242477	1.31702
0.0001833	0.000242873	1.31698
0.0001836	0.000243268	1.31694
0.0001839	0.000243663	1.3169
0.0001842	0.000244058	1.31686
0.0001845	0.000244453	1.31681
0.0001848	0.000244848	1.31677
0.0001851	0.000245243	1.31673
0.0001854	0.000245638	1.31669
0.0001857	0.000246033	1.31665
0.000186	0.000246428	1.3166
0.0001863	0.000246823	1.31656
0.0001866	0.000247218	1.31652
0.0001869	0.000247613	1.31648
0.0001872	0.000248008	1.31644
0.0001875	0.000248403	1.31639
0.0001878	0.000248798	1.31635
0.0001881	0.000249192	1.31631
0.0001884	0.000249587	1.31627
0.0001887	0.000249982	1.31622
0.000189	0.000250377	1.31618
0.0001893	0.000250772	1.31614
0.0001896	0.000251167	1.31609
0.0001899	0.000251562	1.31605
0.0001902	0.000251956	1.31601
0.0001905	0.000252351	1.31596
0.0001908	0.000252746	1.31592
0.0001911	0.000253141	1.31588
0.0001914	0.000253535	1.31583
0.0001917	0.00025393	1.31579
0.000192	0.000254325	1.31575
0.0001923	0.00025472	1.3157
0.0001926	0.000255114	1.31566
0.0001929	0.000255509	1.31561
0.0001932	0.000255904	1.31557
0.0001935	0.000256298	1.31553
0.0001938	0.000256693	1.31548
0.0001941	0.000257088	1.31544
0.0001944	0.000257482	1.31539
0.0001947	0.000257877	1.31535
0.000195	0.000258272	1.3153
0.0001953	0.000258666	1.31526
0.0001956	0.000259061	1.31521
0.0001959	0.000259455	1.31517
0.0001962	0.00025985	1.31512
0.0001965	0.000260244	1.31508
0.0001968	0.000260639	1.31503
0.0001971	0.000261033	1.31499
0.0001974	0.000261428	1.31494
0.0001977	0.000261822	1.3149
0.000198	0.000262217	1.31485
0.0001983	0.000262611	1.31481
0.0001986	0.000263006	1.31476
0.0001989	0.0002634	1.31472
0.0001992	0.000263794	1.31467
0.0001995	0.000264189	1.31462
0.0001998	0.000264583	1.31458
0.0002001	0.000264978	1.31453
0.0002004	0.000265372	1.31449
0.0002007	0.000265766	1.31444
0.000201	0.000266161	1.31439
0.0002013	0.000266555	1.31435
0.0002016	0.000266949	1.3143
0.0002019	0.000267344	1.31425
0.0002022	0.000267738	1.31421
0.0002025	0.000268132	1.31416
0.0002028	0.000268526	1.31411
0.0002031	0.000268921	1.31407
0.0002034	0.000269315	1.31402
0.0002037	0.000269709	1.31397
0.000204	0.000270103	1.31393
0.0002043	0.000270497	1.31388
0.0002046	0.000270891	1.31383
0.0002049	0.000271286	1.31378
0.0002052	0.00027168	1.31374
0.0002055	0.000272074	1.31369
0.0002058	0.000272468	1.31364
0.0002061	0.000272862	1.31359
0.0002064	0.000273256	1.31355
0.0002067	0.00027365	1.3135
0.000207	0.000274044	1.31345
0.0002073	0.000274438	1.3134
0.0002076	0.000274832	1.31335
0.0002079	0.000275226	1.31331
0.0002082	0.00027562	1.31326
0.0002085	0.000276014	1.31321
0.0002088	0.000276408	1.31316
0.0002091	0.000276802	1.31311
0.0002094	0.000277196	1.31306
0.0002097	0.00027759	1.31301
0.00021	0.000277984	1.31296
0.0002103	0.000278378	1.31292
0.0002106	0.000278772	1.31287
0.0002109	0.000279165	1.31282
0.0002112	0.000279559	1.31277
0.0002115	0.000279953	1.31272
0.0002118	0.000280347	1.31267
0.0002121	0.000280741	1.31262
0.0002124	0.000281134	1.31257
0.0002127	0.000281528	1.31252
0.000213	0.000281922	1.31247
0.0002133	0.000282316	1.31242
0.0002136	0.000282709	1.31237
0.0002139	0.000283103	1.31232
0.0002142	0.000283497	1.31227
0.0002145	0.00028389	1.31222
0.0002148	0.000284284	1.31217
0.0002151	0.000284678	1.31212
0.0002154	0.000285071	1.31207
0.0002157	0.000285465	1.31202
0.000216	0.000285859	1.31197
0.0002163	0.000286252	1.31192
0.0002166	0.000286646	1.31187
0.0002169	0.000287039	1.31182
0.0002172	0.000287433	1.31176
0.0002175	0.000287826	1.31171
0.0002178	0.00028822	1.31166
0.0002181	0.000288613	1.31161
0.0002184	0.000289007	1.31156
0.0002187	0.0002894	1.31151
0.000219	0.000289794	1.31146
0.0002193	0.000290187	1.3114
0.0002196	0.000290581	1.31135
0.0002199	0.000290974	1.3113
0.0002202	0.000291367	1.31125
0.0002205	0.000291761	1.3112
0.0002208	0.000292154	1.31114
0.0002211	0.000292547	1.31109
0.0002214	0.000292941	1.31104
0.0002217	0.000293334	1.31099
0.000222	0.000293727	1.31094
0.0002223	0.000294121	1.31088
0.0002226	0.000294514	1.31083
0.0002229	0.000294907	1.31078
0.0002232	0.0002953	1.31072
0.0002235	0.000295694	1.31067
0.0002238	0.000296087	1.31062
0.0002241	0.00029648	1.31056
0.0002244	0.000296873	1.31051
0.0002247	0.000297266	1.31046
0.000225	0.000297659	1.3104
0.0002253	0.000298052	1.31035
0.0002256	0.000298446	1.3103
0.0002259	0.000298839	1.31024
0.0002262	0.000299232	1.31019
0.0002265	0.000299625	1.31014
0.0002268	0.000300018	1.31008
0.0002271	0.000300411	1.31003
0.0002274	0.000300804	1.30997
0.0002277	0.000301197	1.30992
0.000228	0.00030159	1.30987
0.0002283	0.000301983	1.30981
0.0002286	0.000302376	1.30976
0.0002289	0.000302769	1.3097
0.0002292	0.000303161	1.30965
0.0002295	0.000303554	1.30959
0.0002298	0.000303947	1.30954
0.0002301	0.00030434	1.30948
0.0002304	0.000304733	1.30943
0.0002307	0.000305126	1.30937
0.000231	0.000305519	1.30932
0.0002313	0.000305911	1.30926
0.0002316	0.000306304	1.30921
0.0002319	0.000306697	1.30915
0.0002322	0.00030709	1.3091
0.0002325	0.000307482	1.30904
0.0002328	0.000307875	1.30898
