t(s)	x(m)	v(m/s)	F(N)
0	0	0.885889	0
3e-07	2.65767e-07	0.885889	47.8072
6e-07	5.31534e-07	0.885889	95.6153
9e-07	7.973e-07	0.885889	143.424
1.2e-06	1.06307e-06	0.885889	191.234
1.5e-06	1.32883e-06	0.885889	239.045
1.8e-06	1.5946e-06	0.885889	286.856
2.1e-06	1.86037e-06	0.885888	334.669
2.4e-06	2.12613e-06	0.885888	382.483
2.7e-06	2.3919e-06	0.885888	430.297
3e-06	2.65767e-06	0.885887	478.113
3.3e-06	2.92343e-06	0.885887	525.93
3.6e-06	3.1892e-06	0.885887	573.748
3.9e-06	3.45496e-06	0.885886	621.567
4.2e-06	3.72073e-06	0.885886	669.387
4.5e-06	3.9865e-06	0.885885	717.209
4.8e-06	4.25226e-06	0.885885	765.032
5.1e-06	4.51803e-06	0.885884	812.856
5.4e-06	4.78379e-06	0.885883	860.681
5.7e-06	5.04956e-06	0.885883	908.508
6e-06	5.31532e-06	0.885882	956.336
6.3e-06	5.58109e-06	0.885881	1004.17
6.6e-06	5.84685e-06	0.88588	1052
6.9e-06	6.11261e-06	0.885879	1099.83
7.2e-06	6.37838e-06	0.885878	1147.66
7.5e-06	6.64414e-06	0.885877	1195.5
7.8e-06	6.9099e-06	0.885876	1243.34
8.1e-06	7.17567e-06	0.885875	1291.18
8.4e-06	7.44143e-06	0.885874	1339.02
8.7e-06	7.70719e-06	0.885873	1386.86
9e-06	7.97295e-06	0.885872	1434.7
9.3e-06	8.23871e-06	0.885871	1482.55
9.6e-06	8.50448e-06	0.88587	1530.39
9.9e-06	8.77024e-06	0.885869	1578.24
1.02e-05	9.036e-06	0.885867	1626.09
1.05e-05	9.30176e-06	0.885866	1673.95
1.08e-05	9.56752e-06	0.885865	1721.8
1.11e-05	9.83328e-06	0.885863	1769.66
1.14e-05	1.0099e-05	0.885862	1817.52
1.17e-05	1.03648e-05	0.88586	1865.38
1.2e-05	1.06306e-05	0.885859	1913.24
1.23e-05	1.08963e-05	0.885857	1961.11
1.26e-05	1.11621e-05	0.885856	2008.97
1.29e-05	1.14278e-05	0.885854	2056.84
1.32e-05	1.16936e-05	0.885852	2104.71
1.35e-05	1.19593e-05	0.885851	2152.59
1.38e-05	1.22251e-05	0.885849	2200.46
1.41e-05	1.24908e-05	0.885847	2248.34
1.44e-05	1.27566e-05	0.885845	2296.22
1.47e-05	1.30223e-05	0.885844	2344.1
1.5e-05	1.32881e-05	0.885842	2391.99
1.53e-05	1.35539e-05	0.88584	2439.87
1.56e-05	1.38196e-05	0.885838	2487.76
1.59e-05	1.40854e-05	0.885836	2535.65
1.62e-05	1.43511e-05	0.885834	2583.55
1.65e-05	1.46169e-05	0.885832	2631.44
1.68e-05	1.48826e-05	0.88583	2679.34
1.71e-05	1.51484e-05	0.885827	2727.25
1.74e-05	1.54141e-05	0.885825	2775.15
1.77e-05	1.56799e-05	0.885823	2823.06
1.8e-05	1.59456e-05	0.885821	2870.97
1.83e-05	1.62113e-05	0.885818	2918.88
1.86e-05	1.64771e-05	0.885816	2966.79
1.89e-05	1.67428e-05	0.885814	3014.71
1.92e-05	1.70086e-05	0.885811	3062.63
1.95e-05	1.72743e-05	0.885809	3110.56
1.98e-05	1.75401e-05	0.885806	3158.48
2.01e-05	1.78058e-05	0.885804	3206.41
2.04e-05	1.80715e-05	0.885801	3254.34
2.07e-05	1.83373e-05	0.885799	3302.28
2.1e-05	1.8603e-05	0.885796	3350.22
2.13e-05	1.88688e-05	0.885793	3398.16
2.16e-05	1.91345e-05	0.885791	3446.1
2.19e-05	1.94002e-05	0.885788	3494.05
2.22e-05	1.9666e-05	0.885785	3542
2.25e-05	1.99317e-05	0.885782	3589.95
2.28e-05	2.01974e-05	0.885779	3637.91
2.31e-05	2.04632e-05	0.885776	3685.87
2.34e-05	2.07289e-05	0.885773	3733.83
2.37e-05	2.09946e-05	0.88577	3781.8
2.4e-05	2.12604e-05	0.885767	3829.76
2.43e-05	2.15261e-05	0.885764	3877.74
2.46e-05	2.17918e-05	0.885761	3925.71
2.49e-05	2.20576e-05	0.885758	3973.69
2.52e-05	2.23233e-05	0.885755	4021.67
2.55e-05	2.2589e-05	0.885752	4069.66
2.58e-05	2.28547e-05	0.885748	4117.65
2.61e-05	2.31205e-05	0.885745	4165.64
2.64e-05	2.33862e-05	0.885742	4213.64
2.67e-05	2.36519e-05	0.885738	4261.64
2.7e-05	2.39176e-05	0.885735	4309.64
2.73e-05	2.41833e-05	0.885731	4357.65
2.76e-05	2.44491e-05	0.885728	4405.66
2.79e-05	2.47148e-05	0.885724	4453.67
2.82e-05	2.49805e-05	0.885721	4501.69
2.85e-05	2.52462e-05	0.885717	4549.71
2.88e-05	2.55119e-05	0.885714	4597.74
2.91e-05	2.57776e-05	0.88571	4645.77
2.94e-05	2.60434e-05	0.885706	4693.8
2.97e-05	2.63091e-05	0.885702	4741.84
3e-05	2.65748e-05	0.885699	4789.88
3.03e-05	2.68405e-05	0.885695	4837.93
3.06e-05	2.71062e-05	0.885691	4885.98
3.09e-05	2.73719e-05	0.885687	4934.03
3.12e-05	2.76376e-05	0.885683	4982.08
3.15e-05	2.79033e-05	0.885679	5030.15
3.18e-05	2.8169e-05	0.885675	5078.21
3.21e-05	2.84347e-05	0.885671	5126.28
3.24e-05	2.87004e-05	0.885667	5174.35
3.27e-05	2.89661e-05	0.885663	5222.43
3.3e-05	2.92318e-05	0.885658	5270.51
3.33e-05	2.94975e-05	0.885654	5318.6
3.36e-05	2.97632e-05	0.88565	5366.69
3.39e-05	3.00289e-05	0.885646	5414.78
3.42e-05	3.02946e-05	0.885641	5462.88
3.45e-05	3.05603e-05	0.885637	5510.98
3.48e-05	3.0826e-05	0.885633	5559.09
3.51e-05	3.10917e-05	0.885628	5607.2
3.54e-05	3.13573e-05	0.885624	5655.32
3.57e-05	3.1623e-05	0.885619	5703.44
3.6e-05	3.18887e-05	0.885615	5751.57
3.63e-05	3.21544e-05	0.88561	5799.69
3.66e-05	3.24201e-05	0.885605	5847.83
3.69e-05	3.26858e-05	0.885601	5895.97
3.72e-05	3.29514e-05	0.885596	5944.11
3.75e-05	3.32171e-05	0.885591	5992.26
3.78e-05	3.34828e-05	0.885586	6040.41
3.81e-05	3.37485e-05	0.885582	6088.57
3.84e-05	3.40142e-05	0.885577	6136.73
3.87e-05	3.42798e-05	0.885572	6184.9
3.9e-05	3.45455e-05	0.885567	6233.07
3.93e-05	3.48112e-05	0.885562	6281.25
3.96e-05	3.50768e-05	0.885557	6329.43
3.99e-05	3.53425e-05	0.885552	6377.62
4.02e-05	3.56082e-05	0.885547	6425.81
4.05e-05	3.58738e-05	0.885541	6474
4.08e-05	3.61395e-05	0.885536	6522.2
4.11e-05	3.64051e-05	0.885531	6570.41
4.14e-05	3.66708e-05	0.885526	6618.62
4.17e-05	3.69365e-05	0.88552	6666.84
4.2e-05	3.72021e-05	0.885515	6715.06
4.23e-05	3.74678e-05	0.88551	6763.29
4.26e-05	3.77334e-05	0.885504	6811.52
4.29e-05	3.79991e-05	0.885499	6859.76
4.32e-05	3.82647e-05	0.885493	6908
4.35e-05	3.85304e-05	0.885488	6956.25
4.38e-05	3.8796e-05	0.885482	7004.5
4.41e-05	3.90617e-05	0.885477	7052.76
4.44e-05	3.93273e-05	0.885471	7101.02
4.47e-05	3.95929e-05	0.885465	7149.29
4.5e-05	3.98586e-05	0.88546	7197.56
4.53e-05	4.01242e-05	0.885454	7245.84
4.56e-05	4.03899e-05	0.885448	7294.13
4.59e-05	4.06555e-05	0.885442	7342.42
4.62e-05	4.09211e-05	0.885436	7390.71
4.65e-05	4.11867e-05	0.885431	7439.02
4.68e-05	4.14524e-05	0.885425	7487.32
4.71e-05	4.1718e-05	0.885419	7535.64
4.74e-05	4.19836e-05	0.885413	7583.95
4.77e-05	4.22493e-05	0.885406	7632.28
