t(s)	x(m)	v(m/s)	F(N)
0	0	1.40071	0
3e-07	4.20214e-07	1.40071	47.8172
6e-07	8.40428e-07	1.40071	95.6551
9e-07	1.26064e-06	1.40071	143.514
1.2e-06	1.68086e-06	1.40071	191.393
1.5e-06	2.10107e-06	1.40071	239.294
1.8e-06	2.52128e-06	1.40071	287.215
2.1e-06	2.9415e-06	1.40071	335.158
2.4e-06	3.36171e-06	1.40071	383.121
2.7e-06	3.78193e-06	1.40071	431.106
3e-06	4.20214e-06	1.40071	479.112
3.3e-06	4.62235e-06	1.40071	527.139
3.6e-06	5.04257e-06	1.40071	575.188
3.9e-06	5.46278e-06	1.40071	623.257
4.2e-06	5.88299e-06	1.40071	671.348
4.5e-06	6.3032e-06	1.40071	719.461
4.8e-06	6.72342e-06	1.40071	767.595
5.1e-06	7.14363e-06	1.40071	815.751
5.4e-06	7.56384e-06	1.4007	863.928
5.7e-06	7.98405e-06	1.4007	912.127
6e-06	8.40426e-06	1.4007	960.348
6.3e-06	8.82447e-06	1.4007	1008.59
6.6e-06	9.24468e-06	1.4007	1056.85
6.9e-06	9.66489e-06	1.4007	1105.14
7.2e-06	1.00851e-05	1.4007	1153.45
7.5e-06	1.05053e-05	1.4007	1201.78
7.8e-06	1.09255e-05	1.40069	1250.13
8.1e-06	1.13457e-05	1.40069	1298.51
8.4e-06	1.17659e-05	1.40069	1346.9
8.7e-06	1.21861e-05	1.40069	1395.32
9e-06	1.26063e-05	1.40069	1443.76
9.3e-06	1.30266e-05	1.40069	1492.23
9.6e-06	1.34468e-05	1.40068	1540.71
9.9e-06	1.3867e-05	1.40068	1589.22
1.02e-05	1.42872e-05	1.40068	1637.75
1.05e-05	1.47074e-05	1.40068	1686.3
1.08e-05	1.51276e-05	1.40067	1734.88
1.11e-05	1.55478e-05	1.40067	1783.48
1.14e-05	1.5968e-05	1.40067	1832.1
1.17e-05	1.63882e-05	1.40067	1880.74
1.2e-05	1.68084e-05	1.40067	1929.41
1.23e-05	1.72286e-05	1.40066	1978.1
1.26e-05	1.76488e-05	1.40066	2026.81
1.29e-05	1.8069e-05	1.40066	2075.55
1.32e-05	1.84892e-05	1.40066	2124.31
1.35e-05	1.89094e-05	1.40065	2173.09
1.38e-05	1.93296e-05	1.40065	2221.9
1.41e-05	1.97498e-05	1.40065	2270.73
1.44e-05	2.01699e-05	1.40064	2319.58
1.47e-05	2.05901e-05	1.40064	2368.45
1.5e-05	2.10103e-05	1.40064	2417.35
1.53e-05	2.14305e-05	1.40064	2466.27
1.56e-05	2.18507e-05	1.40063	2515.22
1.59e-05	2.22709e-05	1.40063	2564.19
1.62e-05	2.26911e-05	1.40063	2613.18
1.65e-05	2.31113e-05	1.40062	2662.2
1.68e-05	2.35315e-05	1.40062	2711.24
1.71e-05	2.39516e-05	1.40062	2760.3
1.74e-05	2.43718e-05	1.40061	2809.39
1.77e-05	2.4792e-05	1.40061	2858.5
1.8e-05	2.52122e-05	1.4006	2907.64
1.83e-05	2.56324e-05	1.4006	2956.8
1.86e-05	2.60526e-05	1.4006	3005.98
1.89e-05	2.64727e-05	1.40059	3055.19
1.92e-05	2.68929e-05	1.40059	3104.42
1.95e-05	2.73131e-05	1.40059	3153.68
1.98e-05	2.77333e-05	1.40058	3202.96
2.01e-05	2.81534e-05	1.40058	3252.26
2.04e-05	2.85736e-05	1.40057	3301.59
2.07e-05	2.89938e-05	1.40057	3350.95
2.1e-05	2.9414e-05	1.40056	3400.32
2.13e-05	2.98341e-05	1.40056	3449.73
2.16e-05	3.02543e-05	1.40056	3499.15
2.19e-05	3.06745e-05	1.40055	3548.61
2.22e-05	3.10946e-05	1.40055	3598.08
2.25e-05	3.15148e-05	1.40054	3647.59
2.28e-05	3.19349e-05	1.40054	3697.11
2.31e-05	3.23551e-05	1.40053	3746.66
2.34e-05	3.27753e-05	1.40053	3796.24
2.37e-05	3.31954e-05	1.40052	3845.84
2.4e-05	3.36156e-05	1.40052	3895.47
2.43e-05	3.40357e-05	1.40051	3945.12
2.46e-05	3.44559e-05	1.40051	3994.8
2.49e-05	3.4876e-05	1.4005	4044.5
2.52e-05	3.52962e-05	1.4005	4094.23
2.55e-05	3.57163e-05	1.40049	4143.98
2.58e-05	3.61365e-05	1.40049	4193.76
2.61e-05	3.65566e-05	1.40048	4243.56
2.64e-05	3.69768e-05	1.40048	4293.39
2.67e-05	3.73969e-05	1.40047	4343.25
2.7e-05	3.78171e-05	1.40047	4393.13
2.73e-05	3.82372e-05	1.40046	4443.04
2.76e-05	3.86573e-05	1.40046	4492.97
2.79e-05	3.90775e-05	1.40045	4542.93
2.82e-05	3.94976e-05	1.40044	4592.91
2.85e-05	3.99177e-05	1.40044	4642.92
2.88e-05	4.03379e-05	1.40043	4692.96
2.91e-05	4.0758e-05	1.40043	4743.02
2.94e-05	4.11781e-05	1.40042	4793.11
2.97e-05	4.15983e-05	1.40041	4843.22
3e-05	4.20184e-05	1.40041	4893.36
3.03e-05	4.24385e-05	1.4004	4943.53
3.06e-05	4.28586e-05	1.4004	4993.72
3.09e-05	4.32787e-05	1.40039	5043.94
3.12e-05	4.36989e-05	1.40038	5094.19
3.15e-05	4.4119e-05	1.40038	5144.46
3.18e-05	4.45391e-05	1.40037	5194.76
3.21e-05	4.49592e-05	1.40036	5245.09
3.24e-05	4.53793e-05	1.40036	5295.44
3.27e-05	4.57994e-05	1.40035	5345.82
3.3e-05	4.62195e-05	1.40034	5396.23
3.33e-05	4.66396e-05	1.40034	5446.66
3.36e-05	4.70597e-05	1.40033	5497.12
